host,press,panel,threshold,reading,baseline,pressed,timestamp
1,2,0,80,568,482.67,500, 2017-12-09 00:18:50 +0000
1,2,0,80,591,487.44,500, 2017-12-09 00:18:58 +0000
1,2,0,80,589,491.20,500, 2017-12-09 00:19:00 +0000
1,2,0,80,572,489.78,500, 2017-12-09 00:19:01 +0000
1,2,0,80,573,488.88,500, 2017-12-09 00:19:02 +0000
1,2,0,80,573,486.88,500, 2017-12-09 00:19:04 +0000
1,2,0,80,731,486.47,500, 2017-12-09 00:19:05 +0000
1,2,0,80,763,478.59,500, 2017-12-09 00:19:14 +0000
1,2,0,80,990,475.21,500, 2017-12-09 00:19:19 +0000
1,2,0,80,952,474.86,500, 2017-12-09 00:19:20 +0000
1,2,0,80,1014,474.56,500, 2017-12-09 00:19:20 +0000
1,2,0,80,885,474.26,500, 2017-12-09 00:19:21 +0000
1,2,0,80,589,473.84,500, 2017-12-09 00:19:22 +0000
1,2,0,80,556,473.42,500, 2017-12-09 00:19:23 +0000
1,2,0,80,939,472.74,500, 2017-12-09 00:19:25 +0000
1,2,0,80,682,472.53,500, 2017-12-09 00:19:26 +0000
1,2,0,80,536,436.40,500, 2017-12-09 08:26:53 +0000
1,2,0,80,569,420.49,500, 2017-12-09 09:05:51 +0000
1,2,0,80,541,420.14,500, 2017-12-09 09:05:52 +0000
1,2,0,80,895,412.47,500, 2017-12-09 09:06:07 +0000
1,2,0,80,606,413.94,500, 2017-12-09 09:06:08 +0000
1,2,0,80,591,420.29,500, 2017-12-09 09:06:10 +0000
1,2,0,80,543,439.41,500, 2017-12-09 10:21:54 +0000
1,2,0,80,561,439.11,500, 2017-12-09 10:21:55 +0000
1,2,0,80,549,439.06,500, 2017-12-09 10:21:55 +0000
1,2,0,80,524,439.42,500, 2017-12-09 10:21:56 +0000
1,2,0,80,522,437.74,500, 2017-12-09 10:22:01 +0000
1,2,0,80,563,437.02,500, 2017-12-09 10:22:03 +0000
1,2,0,80,527,436.60,500, 2017-12-09 10:22:05 +0000
1,2,0,80,516,434.75,500, 2017-12-09 10:22:19 +0000
1,2,0,80,524,434.77,500, 2017-12-09 10:22:19 +0000
1,2,0,80,519,435.39,500, 2017-12-09 10:22:19 +0000
1,2,0,80,526,435.45,500, 2017-12-09 10:22:20 +0000
1,2,0,80,533,434.08,500, 2017-12-09 10:22:23 +0000
1,2,0,80,524,423.19,500, 2017-12-09 10:27:22 +0000
1,2,0,80,525,433.15,500, 2017-12-09 10:35:42 +0000
1,2,0,80,518,432.38,500, 2017-12-09 10:35:51 +0000
1,2,0,80,544,433.32,500, 2017-12-09 10:35:54 +0000
1,2,0,80,662,447.89,500, 2017-12-09 10:41:05 +0000
1,2,0,80,574,433.99,500, 2017-12-09 10:42:18 +0000
1,2,0,80,549,410.53,500, 2017-12-09 10:50:39 +0000
1,2,0,80,622,414.22,500, 2017-12-09 10:50:42 +0000
1,2,0,80,531,414.05,500, 2017-12-09 10:50:45 +0000
1,2,0,80,1009,413.99,500, 2017-12-09 10:50:46 +0000
1,2,0,80,988,414.13,500, 2017-12-09 10:50:46 +0000
1,2,0,80,516,411.50,500, 2017-12-09 10:51:23 +0000
1,2,0,80,523,411.52,500, 2017-12-09 10:51:23 +0000
1,2,0,80,498,411.87,500, 2017-12-09 10:51:24 +0000
1,2,0,80,526,410.75,500, 2017-12-09 10:51:50 +0000
1,2,0,80,497,410.83,500, 2017-12-09 10:51:50 +0000
1,2,0,80,495,410.85,500, 2017-12-09 10:51:50 +0000
1,2,0,80,495,413.68,500, 2017-12-09 10:52:19 +0000
1,2,0,80,519,413.72,500, 2017-12-09 10:52:19 +0000
1,2,0,80,506,412.23,500, 2017-12-09 10:52:27 +0000
1,2,0,80,523,433.48,500, 2017-12-09 10:56:49 +0000
1,2,0,80,518,434.55,500, 2017-12-09 10:56:50 +0000
1,2,0,80,528,429.34,500, 2017-12-09 10:59:17 +0000
1,2,0,80,515,430.55,500, 2017-12-09 10:59:19 +0000
1,2,0,80,514,429.57,500, 2017-12-09 10:59:23 +0000
1,2,0,80,982,435.09,500, 2017-12-09 10:59:26 +0000
1,2,0,80,585,433.72,500, 2017-12-09 10:59:35 +0000
1,2,0,80,516,434.13,500, 2017-12-09 10:59:37 +0000
1,2,0,80,544,434.15,500, 2017-12-09 10:59:37 +0000
1,2,0,80,520,433.94,500, 2017-12-09 10:59:38 +0000
1,2,0,80,541,453.71,500, 2017-12-09 11:12:01 +0000
1,2,0,80,603,454.20,500, 2017-12-09 11:12:03 +0000
1,2,0,80,585,453.31,500, 2017-12-09 11:12:05 +0000
1,2,0,80,542,456.06,500, 2017-12-09 11:12:10 +0000
1,2,0,80,662,472.77,500, 2017-12-09 11:12:15 +0000
1,2,0,80,889,467.06,500, 2017-12-09 11:12:19 +0000
1,2,0,80,581,436.22,500, 2017-12-09 11:26:14 +0000
1,2,0,80,524,434.29,500, 2017-12-09 11:26:41 +0000
1,2,0,80,521,436.79,500, 2017-12-09 11:26:46 +0000
1,2,0,80,536,439.56,500, 2017-12-09 11:26:47 +0000
1,2,0,80,831,437.41,500, 2017-12-09 11:26:50 +0000
1,2,0,80,527,446.00,500, 2017-12-09 11:36:00 +0000
1,2,0,80,557,446.02,500, 2017-12-09 11:36:00 +0000
1,2,0,80,532,446.08,500, 2017-12-09 11:36:00 +0000
1,2,0,80,567,447.11,500, 2017-12-09 11:36:00 +0000
1,2,0,80,656,454.72,500, 2017-12-09 11:43:18 +0000
1,2,0,80,683,470.96,500, 2017-12-09 11:43:23 +0000
1,2,0,80,937,475.09,500, 2017-12-09 11:43:25 +0000
1,2,0,80,990,475.63,500, 2017-12-09 11:43:26 +0000
1,2,0,80,996,476.23,500, 2017-12-09 11:43:27 +0000
1,2,0,80,873,476.73,500, 2017-12-09 11:43:27 +0000
1,2,0,80,704,477.15,500, 2017-12-09 11:43:28 +0000
1,2,0,80,866,477.66,500, 2017-12-09 11:43:28 +0000
1,2,0,80,570,474.34,500, 2017-12-09 11:43:33 +0000
1,2,0,80,849,474.90,500, 2017-12-09 11:43:34 +0000
1,2,0,80,582,476.34,500, 2017-12-09 11:43:35 +0000
1,2,0,80,1011,477.32,500, 2017-12-09 11:43:36 +0000
1,2,0,80,628,478.19,500, 2017-12-09 11:43:37 +0000
1,2,0,80,656,479.20,500, 2017-12-09 11:43:38 +0000
1,2,0,80,958,479.96,500, 2017-12-09 11:43:39 +0000
